feature,baseline_mean,production_mean,diff_percent,baseline_std,production_std
NONLIVINGAPARTMENTS_MEDI,0.00973543735982057,0.02805798319327731,188.2046502510128,0.053722095680491154,0.09065427668148801
NONLIVINGAPARTMENTS_AVG,0.009835789810958027,0.02825126050420168,187.22920118450503,0.053652581641108435,0.09102821397744268
NONLIVINGAPARTMENTS_MODE,0.009294745273950657,0.025473949579831928,174.06829158863468,0.05339794445836847,0.08737427040716206
FLAG_DOCUMENT_7,0.0002,0.0,100.0,0.014141428428549924,0.0
FLAG_DOCUMENT_19,0.0008,0.0,100.0,0.02827436902911185,0.0
FLAG_DOCUMENT_2,0.0001,0.0,100.0,0.01,0.0
FLAG_DOCUMENT_15,0.0018,0.0,100.0,0.04239032547609651,0.0
FLAG_DOCUMENT_20,0.0004,0.0,100.0,0.019996999474891225,0.0
FLAG_DOCUMENT_12,0.0001,0.0,100.0,0.010000000000000002,0.0
FLAG_DOCUMENT_21,0.0006,0.0,100.0,0.024488772325231,0.0
FLAG_DOCUMENT_4,0.0002,0.0,100.0,0.014141428428549924,0.0
FLAG_DOCUMENT_17,0.0002,0.0,100.0,0.014141428428549924,0.0
FLAG_DOCUMENT_13,0.0043,0.008108108108108109,88.56065367693276,0.06543652033703642,0.08980067774075154
FLAG_DOCUMENT_11,0.0044,0.008108108108108109,84.27518427518427,0.0661897130059557,0.08980067774075154
NONLIVINGAREA_AVG,0.029959805438868007,0.053215428571428566,77.62274417974072,0.07464096748810632,0.1324825572631429
FLAG_DOCUMENT_16,0.0107,0.002702702702702703,74.74109623642333,0.10289105236543011,0.05198752449100364
FLAG_DOCUMENT_9,0.0048,0.008108108108108109,68.91891891891895,0.06911901144963212,0.08980067774075154
FLAG_DOCUMENT_18,0.0086,0.002702702702702703,68.57322438717787,0.09234117548130372,0.05198752449100365
AMT_GOODS_PRICE,540239.3465658791,909608.1081081082,68.37131798899559,371909.67271189834,444785.71977913845
AMT_CREDIT,601382.80305,997710.822972973,65.90278569871603,405995.9202988456,467026.61467728426
NONLIVINGAREA_MEDI,0.02996973247844351,0.049553142857142865,65.34396125419278,0.07525442695475419,0.13112559601283363
FLAG_DOCUMENT_5,0.015,0.005405405405405406,63.96396396396396,0.12155853589018246,0.07342177204527826
AMT_REQ_CREDIT_BUREAU_HOUR,0.0074678308823529415,0.0029940119760479044,59.90787655458314,0.09618399328618786,0.05471756551645828
ELEVATORS_MEDI,0.08169715014887283,0.1293854748603352,58.372078615425636,0.13896482450939837,0.1625953895001683
ELEVATORS_AVG,0.08263224159931944,0.1296581005586592,56.90981879369357,0.13919428734803863,0.16152903165076787
NONLIVINGAREA_MODE,0.02828222418748618,0.04281142857142857,51.37221276384272,0.07519866395310987,0.1276764840574833
ELEVATORS_MODE,0.0779429179072735,0.11768659217877095,50.99074468674546,0.13679185508877043,0.1618756799963372
AMT_ANNUITY,27130.175067506752,39307.122972972975,44.883410723177754,14525.332047839713,17455.449973523944
